Lat, Lon
31.120041,-116.822244
31.13746,-116.696551
31.154778,-116.570821
31.171996,-116.445053
31.189113,-116.319248
31.20613,-116.193406
31.223047,-116.067526
31.239862,-115.941611
31.256578,-115.815659
31.273193,-115.68967
31.289707,-115.563646
31.30612,-115.437586
31.322433,-115.31149
31.338645,-115.185359
31.354756,-115.059193
31.370766,-114.932991
31.386676,-114.806755
31.402485,-114.680484
31.418192,-114.554179
31.433799,-114.427839
31.449305,-114.301466
31.46471,-114.175059
31.480014,-114.048618
31.495216,-113.922144
31.510318,-113.795637
31.525319,-113.669096
31.540218,-113.542523
31.555016,-113.415918
31.569713,-113.28928
31.584309,-113.16261
31.598803,-113.035908
31.613196,-112.909175
31.627488,-112.78241
31.641678,-112.655613
31.655767,-112.528786
31.669755,-112.401928
31.683641,-112.275039
31.697425,-112.148119
31.711108,-112.02117
31.72469,-111.89419
31.73817,-111.767181
31.751548,-111.640142
31.764825,-111.513073
31.778,-111.385976
31.791074,-111.258849
31.804045,-111.131694
31.816915,-111.00451
31.829683,-110.877298
31.84235,-110.750058
31.854914,-110.62279
31.867377,-110.495495
31.879738,-110.368171
31.891997,-110.240821
31.904154,-110.113444
31.916209,-109.98604
31.928162,-109.858609
31.940014,-109.731152
31.951763,-109.603668
31.96341,-109.476159
31.974955,-109.348624
31.986398,-109.221064
31.997739,-109.093478
32.008978,-108.965867
32.020114,-108.838232
32.031149,-108.710572
32.042081,-108.582887
32.052911,-108.455178
32.063639,-108.327446
32.074264,-108.199689
32.084788,-108.071909
32.095209,-107.944106
32.105527,-107.816279
32.115744,-107.68843
32.125858,-107.560558
32.135869,-107.432664
32.145778,-107.304747
32.155585,-107.176809
32.165289,-107.048849
32.174891,-106.920867
32.18439,-106.792864
32.193787,-106.66484
32.203081,-106.536795
32.212273,-106.408729
32.221362,-106.280643
32.230349,-106.152537
32.239233,-106.024411
32.248014,-105.896265
32.256693,-105.768099
32.265269,-105.639914
32.273743,-105.511711
32.282113,-105.383488
32.290381,-105.255247
32.298547,-105.126987
32.306609,-104.998709
32.314569,-104.870413
32.322426,-104.7421
32.330181,-104.613769
32.337832,-104.485421
32.345381,-104.357056
32.352827,-104.228674
32.36017,-104.100275
32.36741,-103.97186
32.374547,-103.843429
32.381582,-103.714982
32.388513,-103.586519
32.395342,-103.458041
32.402068,-103.329548
32.40869,-103.201039
32.41521,-103.072516
32.421627,-102.943979
32.427941,-102.815427
32.434152,-102.686861
29.975993,-124.437816
29.999473,-124.314673
30.022854,-124.191482
30.046138,-124.068241
30.069324,-123.944952
30.092412,-123.821614
30.115402,-123.698227
30.138294,-123.574792
30.161088,-123.45131
30.183784,-123.327779
30.206382,-123.2042
30.228881,-123.080574
30.251282,-122.956901
30.273585,-122.83318
30.29579,-122.709412
30.317896,-122.585598
30.339903,-122.461736
30.361813,-122.337828
30.383623,-122.213874
30.405335,-122.089874
30.426949,-121.965828
30.448463,-121.841736
30.469879,-121.717598
30.491196,-121.593415
30.512415,-121.469187
30.533534,-121.344914
30.554555,-121.220596
30.575476,-121.096233
30.596299,-120.971826
30.617022,-120.847374
30.637647,-120.722878
30.658172,-120.598339
30.678598,-120.473756
30.698925,-120.349129
30.719152,-120.224458
30.73928,-120.099745
30.759309,-119.974989
30.779239,-119.850189
30.799069,-119.725348
30.818799,-119.600463
30.83843,-119.475537
30.857962,-119.350568
30.877393,-119.225558
30.896725,-119.100506
30.915958,-118.975413
30.935091,-118.850278
30.954123,-118.725102
30.973057,-118.599885
30.99189,-118.474628
31.010623,-118.34933
31.029256,-118.223992
31.04779,-118.098614
31.066223,-117.973196
31.084557,-117.847738
31.10279,-117.72224
31.120923,-117.596704
31.138956,-117.471128
31.156888,-117.345513
31.174721,-117.219859
31.192453,-117.094167
31.210085,-116.968437
31.227616,-116.842668
31.245048,-116.716862
31.262378,-116.591018
31.279608,-116.465136
31.296738,-116.339217
31.313767,-116.213261
31.330696,-116.087268
31.347524,-115.961238
31.364251,-115.835172
31.380878,-115.709069
31.397404,-115.58293
31.413829,-115.456755
31.430153,-115.330545
31.446377,-115.204299
31.462499,-115.078017
31.478521,-114.951701
31.494442,-114.82535
31.510262,-114.698964
31.525981,-114.572543
31.541599,-114.446088
31.557116,-114.3196
31.572532,-114.193077
31.587847,-114.06652
31.60306,-113.939931
31.618172,-113.813307
31.633184,-113.686651
31.648094,-113.559962
31.662902,-113.433241
31.67761,-113.306487
31.692216,-113.1797
31.70672,-113.052882
31.721124,-112.926032
31.735425,-112.79915
31.749626,-112.672237
31.763725,-112.545293
31.777722,-112.418318
31.791618,-112.291312
31.805413,-112.164276
31.819105,-112.037209
31.832696,-111.910113
31.846186,-111.782986
31.859574,-111.65583
31.87286,-111.528644
31.886044,-111.401429
31.899127,-111.274185
31.912108,-111.146912
31.924987,-111.019611
31.937764,-110.892281
31.950439,-110.764923
31.963013,-110.637537
31.975484,-110.510123
31.987854,-110.382682
32.000121,-110.255213
32.012287,-110.127718
32.024351,-110.000195
32.036312,-109.872646
32.048172,-109.74507
32.059929,-109.617468
32.071584,-109.489841
32.083138,-109.362187
32.094589,-109.234508
32.105938,-109.106803
32.117184,-108.979073
32.128329,-108.851319
32.139371,-108.72354
32.150311,-108.595736
32.161148,-108.467908
32.171884,-108.340056
32.182517,-108.21218
32.193047,-108.084281
32.203476,-107.956358
32.213801,-107.828412
32.224025,-107.700443
32.234146,-107.572451
32.244164,-107.444437
32.25408,-107.316401
32.263894,-107.188343
32.273605,-107.060263
32.283213,-106.932161
32.292719,-106.804038
32.302123,-106.675894
32.311423,-106.547728
32.320622,-106.419543
32.329717,-106.291336
32.33871,-106.16311
32.3476,-106.034863
32.356388,-105.906597
32.365072,-105.778311
32.373654,-105.650005
32.382134,-105.521681
32.39051,-105.393338
32.398784,-105.264976
32.406955,-105.136595
32.415023,-105.008197
32.422989,-104.87978
32.430851,-104.751346
32.438611,-104.622894
32.446268,-104.494425
32.453822,-104.365938
32.461273,-104.237435
32.468621,-104.108915
32.475866,-103.980379
32.483008,-103.851827
32.490048,-103.723258
32.496984,-103.594674
32.503817,-103.466075
32.510548,-103.33746
32.517175,-103.20883
32.5237,-103.080186
32.530121,-102.951527
32.536439,-102.822853
32.542654,-102.694166
30.082631,-124.465002
30.106128,-124.341753
30.129527,-124.218455
30.152828,-124.095107
30.176031,-123.971711
30.199136,-123.848266
30.222143,-123.724772
30.245052,-123.60123
30.267863,-123.47764
30.290575,-123.354002
30.31319,-123.230315
30.335706,-123.106581
30.358123,-122.9828
30.380443,-122.858971
30.402663,-122.735095
30.424786,-122.611172
30.44681,-122.487202
30.468735,-122.363186
30.490562,-122.239123
30.512289,-122.115014
30.533919,-121.990859
30.555449,-121.866658
30.576881,-121.742411
30.598213,-121.618119
30.619447,-121.493781
30.640582,-121.369398
30.661618,-121.244971
30.682555,-121.120498
30.703393,-120.995981
30.724131,-120.871419
30.744771,-120.746813
30.765311,-120.622163
30.785752,-120.49747
30.806093,-120.372732
30.826335,-120.247951
30.846478,-120.123127
30.866522,-119.99826
30.886466,-119.87335
30.90631,-119.748397
30.926055,-119.623401
30.9457,-119.498363
30.965245,-119.373283
30.984691,-119.248162
31.004037,-119.122998
31.023284,-118.997793
31.04243,-118.872546
31.061477,-118.747258
31.080424,-118.621929
31.09927,-118.49656
31.118017,-118.371149
31.136664,-118.245699
31.155211,-118.120208
31.173657,-117.994677
31.192004,-117.869106
31.21025,-117.743496
31.228396,-117.617846
31.246442,-117.492157
31.264388,-117.366429
31.282233,-117.240662
31.299978,-117.114857
31.317622,-116.989013
31.335166,-116.863131
31.35261,-116.73721
31.369953,-116.611252
31.387196,-116.485257
31.404338,-116.359224
31.421379,-116.233153
31.43832,-116.107046
31.45516,-115.980901
31.471899,-115.854721
31.488537,-115.728503
31.505075,-115.60225
31.521512,-115.47596
31.537848,-115.349635
31.554083,-115.223274
31.570217,-115.096877
31.58625,-114.970446
31.602183,-114.843979
31.618014,-114.717478
31.633744,-114.590942
31.649373,-114.464372
31.664901,-114.337767
31.680328,-114.211128
31.695653,-114.084456
31.710878,-113.95775
31.726001,-113.831011
31.741022,-113.704239
31.755943,-113.577434
31.770762,-113.450596
31.78548,-113.323725
31.800096,-113.196823
31.814611,-113.069888
31.829025,-112.942921
31.843337,-112.815923
